tract,Name,Household_Income_rP_gM_pall
24031705602,"Chevy Chase, MD",47310
11001007301,"Southwest Washington, Washington, DC",47280
51013101803,"Lyon Park, Arlington, VA",47161
51059452801,"Alexandria, VA",46966
24033803516,"Bowie, MD",46896
11001000702,"Northwest Washington, Washington, DC",46821
11001005301,"Northwest Washington, Washington, DC",46681
51059420201,"Alexandria, VA",46618
51059450702,"Annandale, VA",46411
11001000300,"Northwest Washington, Washington, DC",46338
51059450300,"Falls Church, VA",46289
11001010100,"Downtown, Washington, DC",46079
24033807102,"Riverdale, Riverdale Park, MD",45567
11001001600,"Northwest Washington, Washington, DC",45398
51059420600,"Groveton, Alexandria, VA",45242
51013102400,"Arlington Heights, Arlington, VA",45189
51013102902,"Shirlington, Arlington, VA",45082
24033806708,"Greenbelt, MD",44814
51013101603,"North Rosslyn, Arlington, VA",44713
51013101802,"Court House, Arlington, VA",44502
51059430700,"Springfield, VA",44312
51059451900,"Alexandria, VA",43918
24033801104,"Joint Base Andrews, MD",43861
51510201400,"Potomac West, Alexandria, VA",43838
24033800408,"Glenn Dale, MD",43753
51510201300,"Del Ray, Alexandria, VA",43690
24033800411,"Glenn Dale, MD",43579
24031701800,"Takoma Park, MD",43295
51059451602,"Falls Church, VA",43143
24033803523,"Bowie, MD",42935
24033803520,"Bowie, MD",42929
24033805801,"Adelphi, MD",42784
51013102003,"Buckingham, Arlington, VA",42742
11001005800,"Northwest Washington, Washington, DC",42727
24033806710,"Greenbelt, MD",42622
51013103501,"Arlington Ridge, Arlington, VA",42595
24033800412,"Lanham, MD",42421
24033803606,"Lanham, MD",42295
51013101703,"Radnor - Fort Myer Heights, Arlington, VA",42199
24033806711,"Greenbelt, MD",42057
24033806100,"Hyattsville, MD",42005
51013102302,"Barcroft, Arlington, VA",41931
11001001902,"Manor Park, Washington, DC",41824
51059450602,"Falls Church, VA",41671
51510200600,"Seminary Hill, Alexandria, VA",41656
51510200407,"Landmark, Alexandria, VA",41644
24031704803,"Bethesda, MD",41473
51013101702,"Radnor - Fort Myer Heights, Arlington, VA",41335
51013102702,"Douglas Park, Arlington, VA",41325
51059420502,"Alexandria, VA",41303
51013101401,"Bluemont, Arlington, VA",41287
51013101701,"Radnor - Fort Myer Heights, Arlington, VA",41270
51059452700,"Falls Church, VA",41247
51013102600,"Douglas Park, Arlington, VA",41189
24031702700,"Silver Spring, MD",41080
24033805904,"Hyattsville, MD",40949
51059451502,"Bailey's Crossroads, VA",40709
51510201801,"Northeast Alexandria, Alexandria, VA",40682
51510201802,"Old Town, Alexandria, VA",40662
51013102001,"Buckingham, Arlington, VA",40347
51059420503,"Alexandria, VA",40322
51013100800,"High View Park, Arlington, VA",40282
24033801211,"Clinton, MD",40139
51059451400,"Seven Corners, VA",39986
24031701703,"Takoma Park, MD",39939
24033805500,"Hyattsville, MD",39911
51510200104,"Alexandria West, Alexandria, VA",39585
51510200105,"Alexandria West, Alexandria, VA",39550
51510200106,"Alexandria West, Alexandria, VA",39543
51013103300,"Arlington Views, Arlington, VA",39396
24033803521,"Bowie, MD",39349
24031701701,"Takoma Park, MD",39246
11001000501,"Northwest Washington, Washington, DC",39235
51510200102,"Alexandria West, Alexandria, VA",39037
24033800706,"Upper Marlboro, MD",38864
11001003900,"Lanier Heights, Washington, DC",38835
11001010300,"Northwest Washington, Washington, DC",38732
51510200301,"Seminary Hill, Alexandria, VA",38728
51059452802,"Bailey's Crossroads, VA",38725
24033805802,"Hyattsville, MD",38723
24031702602,"Silver Spring, MD",38692
11001008100,"Northeast Washington, Washington, DC",38668
51059451601,"Bailey's Crossroads, VA",38531
24033801407,"Fort Washington, MD",38510
11001002701,"Northwest Washington, Washington, DC",38417
24033801901,"Temple Hills, MD",38255
24033806712,"Greenbelt, MD",38148
51510200802,"Taylor Run, Alexandria, VA",38051
11001008301,"Northeast Washington, Washington, DC",37929
51013103200,"Columbia Heights, Arlington, VA",37904
24033803610,"New Carrollton, MD",37719
51510200107,"Alexandria West, Alexandria, VA",37509
24033800413,"Lanham, MD",37420
24033800701,"Upper Marlboro, MD",37305
24033806200,"Hyattsville, MD",37260
24033803527,"Upper Marlboro, MD",37147
51013102200,"Arlington Mill, Arlington, VA",36997
24033803512,"Upper Marlboro, MD",36987
51059452502,"Lincolnia, VA",36951
51013102701,"Douglas Park, Arlington, VA",36925
51510200103,"Alexandria West, Alexandria, VA",36847
24033804101,"Cheverly, MD",36700
24033803605,"New Carrollton, MD",36699
11001009901,"Penn Branch, Washington, DC",36298
24031702402,"Silver Spring, MD",36273
11001009000,"Fort Lincoln, Washington, DC",36103
24033805700,"Hyattsville, MD",36096
51013102500,"Penrose, Arlington, VA",36006
11001008302,"Northeast Washington, Washington, DC",35905
24033803608,"Lanham, MD",35795
51510200406,"Landmark, Alexandria, VA",35717
24033803601,"Springdale, MD",35639
51013103800,"Long Branch Creek, Arlington, VA",35570
24031702000,"New Hampshire Estates, Silver Spring, MD",35554
51013102801,"Columbia Forest, Arlington, VA",35488
11001011000,"Southwest Washington, Washington, DC",35423
11001002001,"16th Street Heights, Washington, DC",35421
51510200303,"Landmark, Alexandria, VA",35411
24033801404,"National Harbor, Oxon Hill, MD",35369
24033801405,"Oxon Hill, MD",35354
24033803803,"Riverdale, Woodlawn, MD",35321
24033805101,"Chillum, MD",35270
11001010200,"Southwest Washington, Washington, DC",35269
24033803700,"Hyattsville, MD",35262
51510200703,"Southwest Quadrant, Alexandria, VA",35154
24033803607,"Lanham, MD",35095
11001002302,"Northwest Washington, Washington, DC",35087
24033804700,"Mount Rainier, MD",35075
24033805202,"Takoma Park, MD",35061
24033806602,"Riverdale, East Riverdale, MD",35060
24033805908,"Chillum, MD",35035
24033801904,"Suitland, Camp Springs, MD",34738
24031702500,"Downtown Silver Spring, Silver Spring, MD",34683
51510200405,"Landmark, Alexandria, VA",34644
11001009503,"Northeast Washington, Washington, DC",34612
24033805909,"Hyattsville, MD",34537
24031701704,"Takoma Park, MD",34522
24031702601,"Downtown Silver Spring, Silver Spring, MD",34405
51059420400,"Alexandria, VA",34386
24033806300,"Hyattsville, MD",34307
24033805201,"Hyattsville, MD",34129
51510201202,"Potomac West, Alexandria, VA",34103
11001002702,"Mount Pleasant, Washington, DC",34016
11001004002,"Adams Morgan, Washington, DC",34009
51510200500,"Seminary Hill, Alexandria, VA",33755
24033806501,"Riverdale, Riverdale Park, MD",33677
24033806000,"Hyattsville, MD",33453
11001001702,"Northwest Washington, Washington, DC",33434
11001009507,"Northeast Washington, Washington, DC",33350
24033802201,"Upper Marlboro, MD",33251
11001009504,"Michigan Park, Washington, DC",33146
24033801214,"Clinton, MD",33052
24033803513,"Largo, MD",33008
24033802301,"District Heights, MD",32734
11001004300,"Northwest Washington, Washington, DC",32675
24033801409,"Fort Washington, MD",32641
51013101602,"Colonial Village, Arlington, VA",32429
11001009505,"Northeast Washington, Washington, DC",32311
24033801905,"Suitland, Camp Springs, MD",32306
24033802103,"District Heights, MD",32084
24033804102,"Hyattsville, MD",31927
11001002802,"Columbia Heights, Washington, DC",31896
24033805000,"Hyattsville, MD",31853
24033801212,"Camp Springs, MD",31730
51013102901,"Shirlington, Arlington, VA",31646
24033803602,"Glenarden, MD",31534
24033801906,"Morningside, MD",31308
51013103100,"Nauck, Arlington, VA",31178
11001001803,"Brightwood, Washington, DC",30873
24033805602,"Hyattsville, MD",30869
24033804900,"Hyattsville, MD",30856
24033801408,"Fort Washington, MD",30842
24033801706,"Temple Hills, MD",30822
11001002400,"Northwest Washington, Washington, DC",30809
11001009508,"Northeast Washington, Washington, DC",30777
11001001804,"Brightwood, Washington, DC",30740
24033806601,"Prince Georges County, MD",30616
24033802203,"Forestville, MD",30581
24033803524,"Hyattsville, MD",30548
24033803519,"Landover, Hyattsville, MD",30526
51510201600,"Old Town West, Alexandria, VA",30516
24033804400,"Brentwood, MD",30418
11001001901,"Brightwood, Washington, DC",30397
24033803613,"Lanham, MD",30381
24033803514,"Largo, MD",30224
24033802204,"District Heights, MD",30114
11001009509,"Michigan Park, Washington, DC",30048
11001002502,"Northwest Washington, Washington, DC",30008
24033804002,"Bladensburg, MD",29983
24033801708,"Oxon Hill, MD",29937
11001002002,"16th Street Heights, Washington, DC",29861
