tract,Name,Incarceration_Rate_rP_gM_pall
24033802803,"Capitol Heights, MD",0.0699
11001010500,"Southwest Washington, Washington, DC",0.0695
24033805201,"Hyattsville, MD",0.0693
11001002101,"Brightwood Park, Washington, DC",0.0688
11001004300,"Northwest Washington, Washington, DC",0.0683
24033801907,"Suitland, Suitland-Silver Hill, MD",0.0679
24031701900,"Takoma Park, MD",0.0679
24033801701,"Temple Hills, MD",0.0675
24033801808,"Hillcrest Heights, MD",0.0667
24033801805,"Temple Hills, MD",0.0667
11001009807,"Bellevue, Washington, DC",0.0658
24033802404,"District Heights, MD",0.0653
11001007603,"Southeast Washington, Washington, DC",0.065
11001001803,"Brightwood, Washington, DC",0.0646
24033802107,"District Heights, MD",0.0645
24033804300,"Hyattsville, MD",0.0642
24033803001,"Capitol Heights, MD",0.0636
11001003800,"Northwest Washington, Washington, DC",0.0625
24033801405,"Oxon Hill, MD",0.0623
11001009505,"Northeast Washington, Washington, DC",0.0615
24033803803,"Riverdale, Woodlawn, MD",0.0606
24033801804,"Temple Hills, MD",0.0603
11001002400,"Northwest Washington, Washington, DC",0.0602
11001009601,"Kenilworth, Washington, DC",0.0597
24033802804,"Capitol Heights, MD",0.0596
11001009508,"Northeast Washington, Washington, DC",0.0591
24033803700,"Hyattsville, MD",0.0591
11001011000,"Southwest Washington, Washington, DC",0.059
24033801702,"Temple Hills, MD",0.0588
11001003700,"Northwest Washington, Washington, DC",0.0588
51013100800,"High View Park, Arlington, VA",0.0583
11001007604,"Southeast Washington, Washington, DC",0.0582
11001009000,"Fort Lincoln, Washington, DC",0.058
11001003200,"Northwest Washington, Washington, DC",0.0569
11001007809,"Northeast Washington, Washington, DC",0.0562
11001007807,"Northeast Washington, Washington, DC",0.0558
11001007808,"Grant Park, Washington, DC",0.0557
24033802600,"Capitol Heights, MD",0.055
24033801409,"Fort Washington, MD",0.0546
11001001902,"Manor Park, Washington, DC",0.0544
51510200303,"Landmark, Alexandria, VA",0.0544
24033805500,"Hyattsville, MD",0.0529
11001002900,"Northwest Washington, Washington, DC",0.0528
24033805909,"Hyattsville, MD",0.0528
11001001804,"Brightwood, Washington, DC",0.0524
11001004600,"Northwest Washington, Washington, DC",0.0523
24033801905,"Suitland, Camp Springs, MD",0.0515
51510201203,"Potomac West, Alexandria, VA",0.051
11001010300,"Northwest Washington, Washington, DC",0.0507
24033801904,"Suitland, Camp Springs, MD",0.0501
24033802502,"Capitol Heights, MD",0.0496
51510200406,"Landmark, Alexandria, VA",0.0494
24033803613,"Lanham, MD",0.0491
11001009509,"Michigan Park, Washington, DC",0.0484
24033802203,"Forestville, MD",0.0479
24033803900,"Hyattsville, MD",0.0478
11001009901,"Penn Branch, Washington, DC",0.0477
24033801708,"Oxon Hill, MD",0.0475
51013103501,"Arlington Ridge, Arlington, VA",0.0474
11001005002,"Downtown, Washington, DC",0.0472
24033803519,"Landover, Hyattsville, MD",0.0471
24033806708,"Greenbelt, MD",0.047
51013103200,"Columbia Heights, Arlington, VA",0.047
24033802406,"Suitland, Suitland-Silver Hill, MD",0.0468
51510200500,"Seminary Hill, Alexandria, VA",0.0466
11001009301,"Northeast Washington, Washington, DC",0.0465
24031701702,"Takoma Park, MD",0.0463
24033804900,"Hyattsville, MD",0.0462
51510200105,"Alexandria West, Alexandria, VA",0.046
11001009503,"Northeast Washington, Washington, DC",0.0459
24033803602,"Glenarden, MD",0.0458
24033801214,"Clinton, MD",0.0454
51510201801,"Northeast Alexandria, Alexandria, VA",0.0451
24033802201,"Upper Marlboro, MD",0.0448
51510200405,"Landmark, Alexandria, VA",0.0443
24033803601,"Springdale, MD",0.0442
24033801404,"National Harbor, Oxon Hill, MD",0.0437
24033801407,"Fort Washington, MD",0.0437
11001005201,"Downtown, Washington, DC",0.0435
51059415200,"Alexandria, VA",0.0427
11001001901,"Brightwood, Washington, DC",0.0426
24033801211,"Clinton, MD",0.0424
24033802204,"District Heights, MD",0.0418
24031704805,"Bethesda, MD",0.0416
11001000802,"Northwest Washington, Washington, DC",0.0416
51013102801,"Columbia Forest, Arlington, VA",0.0415
11001009507,"Northeast Washington, Washington, DC",0.0413
11001006700,"Southeast Washington, Washington, DC",0.0408
24033801906,"Morningside, MD",0.0405
11001008100,"Northeast Washington, Washington, DC",0.04
51510200301,"Seminary Hill, Alexandria, VA",0.0396
24033801500,"Oxon Hill, MD",0.0394
11001009504,"Michigan Park, Washington, DC",0.0392
51013102100,"Glencarlyn, Arlington, VA",0.0391
51059420503,"Alexandria, VA",0.0389
51013101701,"Radnor - Fort Myer Heights, Arlington, VA",0.0385
24033805101,"Chillum, MD",0.0382
24033805602,"Hyattsville, MD",0.0382
51013102200,"Arlington Mill, Arlington, VA",0.0381
24033802103,"District Heights, MD",0.0374
11001008302,"Northeast Washington, Washington, DC",0.0373
11001004902,"Downtown, Washington, DC",0.0371
24033800707,"Greater Upper Marlboro, Upper Marlboro, MD",0.0371
24033806711,"Greenbelt, MD",0.0371
24033800701,"Upper Marlboro, MD",0.0369
11001009302,"Brookland, Washington, DC",0.0363
24033800408,"Glenn Dale, MD",0.0363
24033801901,"Temple Hills, MD",0.0362
24033803607,"Lanham, MD",0.0358
24033804801,"Mount Rainier, MD",0.0357
24033803801,"Hyattsville, MD",0.0353
24033803527,"Upper Marlboro, MD",0.0352
24033802104,"District Heights, MD",0.0352
24031701701,"Takoma Park, MD",0.0352
11001002702,"Mount Pleasant, Washington, DC",0.0346
24033801212,"Camp Springs, MD",0.0345
51013103602,"Aurora Highlands, Arlington, VA",0.0344
51059452801,"Alexandria, VA",0.0342
24033806710,"Greenbelt, MD",0.0338
